id,language,transcript,speech_pitch,speech_energy,mel_mean,mel_std,embedding_dim1,embedding_dim2,emotion
1,French,Vous progressez bien.,167.0,0.63,0.2,0.09,0.46,0.28,Surprise
2,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,229.45,0.68,0.36,0.13,0.54,0.18,Neutral
3,Mandarin,让我帮你调整枕头。,174.1,0.75,0.3,0.12,0.31,0.27,Joy
4,English,I will record your blood pressure now.,153.34,0.41,0.27,0.12,0.49,0.21,Surprise
5,French,Vous semblez plus détendu aujourd'hui.,190.96,0.6,0.38,0.11,0.38,0.25,Fear
6,Spanish,Voy a registrar su presión arterial.,184.52,0.67,0.27,0.1,0.53,0.15,Sadness
7,Spanish,¿Puede mover el brazo lentamente?,195.01,0.47,0.25,0.09,0.36,0.29,Anger
8,French,Vous progressez bien.,242.75,0.64,0.31,0.09,0.37,0.21,Surprise
9,French,Essayons quelques exercices d'étirement.,228.47,0.6,0.32,0.15,0.57,0.3,Joy
10,Spanish,¿Puede mover el brazo lentamente?,185.86,0.6,0.38,0.11,0.57,0.2,Anger
11,English,Please take a deep breath.,242.52,0.48,0.36,0.09,0.57,0.19,Surprise
12,English,Let's try a few stretching exercises.,190.96,0.65,0.27,0.1,0.45,0.17,Neutral
13,Mandarin,我现在记录你的血压。,226.71,0.7,0.36,0.14,0.33,0.21,Surprise
14,Spanish,Vamos a comenzar la terapia.,155.31,0.63,0.34,0.09,0.57,0.29,Joy
15,French,Vous progressez bien.,200.37,0.66,0.29,0.09,0.38,0.23,Surprise
16,English,Let me adjust your pillow for comfort.,190.18,0.76,0.26,0.12,0.44,0.2,Joy
17,French,Vous semblez plus détendu aujourd'hui.,230.1,0.69,0.25,0.14,0.31,0.29,Anger
18,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,223.8,0.4,0.32,0.09,0.58,0.2,Joy
19,Mandarin,你的康复进展很好。,198.13,0.56,0.34,0.12,0.59,0.15,Surprise
20,English,You are making good progress.,216.25,0.58,0.4,0.13,0.57,0.3,Sadness
21,French,Je vais enregistrer votre tension artérielle.,180.7,0.51,0.27,0.09,0.55,0.3,Fear
22,Hindi,आप अच्छी प्रगति कर रहे हैं।,200.97,0.72,0.28,0.13,0.58,0.23,Neutral
23,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,171.0,0.54,0.28,0.09,0.52,0.17,Joy
24,French,Ressentez-vous de la douleur?,224.11,0.67,0.24,0.15,0.32,0.17,Sadness
25,Mandarin,让我帮你调整枕头。,157.53,0.64,0.36,0.14,0.57,0.17,Neutral
26,French,Pouvez-vous bouger le bras lentement?,230.78,0.73,0.32,0.14,0.53,0.3,Sadness
27,Mandarin,我们来做一些伸展运动。,213.69,0.68,0.3,0.09,0.4,0.21,Joy
28,Hindi,मैं आपका तकिया सही कर देता हूँ।,189.88,0.73,0.36,0.14,0.53,0.23,Joy
29,French,Vous progressez bien.,167.75,0.68,0.26,0.1,0.59,0.2,Fear
30,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,249.98,0.53,0.32,0.13,0.34,0.21,Anger
31,Mandarin,我们来做一些伸展运动。,214.31,0.52,0.22,0.09,0.49,0.18,Fear
32,Mandarin,让我帮你调整枕头。,180.48,0.5,0.27,0.13,0.57,0.21,Anger
33,Spanish,¿Tiene algún dolor?,170.12,0.74,0.37,0.09,0.56,0.18,Anger
34,English,Please take a deep breath.,192.58,0.6,0.38,0.09,0.41,0.25,Neutral
35,Mandarin,你有疼痛吗？,226.4,0.44,0.4,0.08,0.33,0.24,Anger
36,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,229.33,0.41,0.34,0.09,0.32,0.22,Neutral
37,French,Pouvez-vous bouger le bras lentement?,222.23,0.46,0.3,0.15,0.47,0.22,Joy
38,French,Pouvez-vous bouger le bras lentement?,153.94,0.77,0.38,0.1,0.38,0.15,Sadness
39,English,Can you move your arm slowly?,246.32,0.61,0.24,0.13,0.36,0.18,Anger
40,French,Comment vous sentez-vous aujourd'hui?,206.85,0.77,0.32,0.11,0.46,0.23,Neutral
41,Mandarin,我现在记录你的血压。,247.29,0.62,0.31,0.13,0.41,0.3,Fear
42,Hindi,कृपया गहरी साँस लें।,240.44,0.7,0.2,0.1,0.43,0.15,Anger
43,Mandarin,你可以慢慢移动手臂吗？,202.64,0.73,0.38,0.11,0.51,0.27,Fear
44,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,187.74,0.78,0.27,0.09,0.5,0.23,Neutral
45,French,Comment vous sentez-vous aujourd'hui?,180.67,0.79,0.4,0.14,0.58,0.23,Joy
46,French,Vous semblez plus détendu aujourd'hui.,243.8,0.6,0.35,0.1,0.42,0.23,Joy
47,French,Vous semblez plus détendu aujourd'hui.,231.75,0.46,0.3,0.14,0.38,0.22,Sadness
48,French,Nous allons commencer la séance.,209.95,0.63,0.36,0.14,0.3,0.15,Fear
49,Hindi,क्या आपको कोई दर्द है?,229.23,0.61,0.35,0.1,0.44,0.2,Sadness
50,Spanish,¿Tiene algún dolor?,181.15,0.62,0.39,0.11,0.48,0.21,Neutral
51,French,Pouvez-vous bouger le bras lentement?,197.09,0.79,0.32,0.09,0.46,0.3,Neutral
52,Mandarin,你有疼痛吗？,172.78,0.58,0.23,0.09,0.54,0.24,Surprise
53,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,157.16,0.59,0.37,0.13,0.57,0.26,Anger
54,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,245.0,0.63,0.32,0.1,0.32,0.24,Fear
55,English,I will record your blood pressure now.,150.94,0.53,0.38,0.11,0.42,0.26,Anger
56,Mandarin,你今天感觉如何？,199.51,0.51,0.22,0.14,0.39,0.19,Fear
57,Spanish,Está progresando bien.,243.52,0.43,0.33,0.13,0.38,0.23,Fear
58,French,Pouvez-vous bouger le bras lentement?,165.82,0.45,0.32,0.1,0.59,0.18,Sadness
59,Mandarin,我现在记录你的血压。,193.07,0.66,0.31,0.14,0.32,0.17,Anger
60,English,How are you feeling today?,188.2,0.47,0.39,0.12,0.36,0.22,Sadness
61,Hindi,आप अच्छी प्रगति कर रहे हैं।,235.43,0.69,0.29,0.12,0.54,0.3,Anger
62,English,How are you feeling today?,163.7,0.48,0.29,0.14,0.4,0.24,Anger
63,Mandarin,你的康复进展很好。,161.1,0.66,0.26,0.09,0.56,0.23,Surprise
64,Mandarin,你可以慢慢移动手臂吗？,182.84,0.63,0.4,0.13,0.5,0.22,Fear
65,English,Can you move your arm slowly?,194.83,0.54,0.26,0.15,0.54,0.18,Sadness
66,English,We will start your therapy now.,178.72,0.42,0.24,0.14,0.43,0.27,Fear
67,French,Vous semblez plus détendu aujourd'hui.,199.4,0.77,0.24,0.14,0.3,0.24,Surprise
68,Spanish,¿Puede mover el brazo lentamente?,213.14,0.68,0.37,0.08,0.49,0.27,Joy
69,Spanish,¿Se siente más relajado ahora?,217.88,0.69,0.21,0.08,0.37,0.3,Anger
70,French,Laissez-moi ajuster votre oreiller pour plus de confort.,207.37,0.45,0.24,0.1,0.46,0.22,Joy
71,French,Vous progressez bien.,177.82,0.79,0.37,0.09,0.45,0.2,Surprise
72,French,Vous semblez plus détendu aujourd'hui.,232.16,0.43,0.33,0.1,0.47,0.2,Anger
73,Mandarin,你可以慢慢移动手臂吗？,175.19,0.49,0.37,0.08,0.32,0.21,Surprise
74,Hindi,हम आपकी थेरेपी शुरू करेंगे।,201.91,0.65,0.34,0.14,0.48,0.19,Sadness
75,French,Veuillez respirer profondément.,228.16,0.74,0.34,0.12,0.39,0.22,Neutral
76,Hindi,क्या आपको कोई दर्द है?,175.65,0.54,0.37,0.14,0.33,0.15,Surprise
77,English,You seem more relaxed today.,237.99,0.5,0.24,0.12,0.45,0.19,Neutral
78,English,Do you feel any pain?,211.14,0.55,0.31,0.14,0.36,0.21,Sadness
79,Spanish,Vamos a comenzar la terapia.,211.22,0.53,0.26,0.12,0.53,0.29,Sadness
80,Spanish,Por favor respire profundamente.,160.55,0.61,0.27,0.15,0.4,0.2,Anger
81,Spanish,Está progresando bien.,218.83,0.42,0.33,0.11,0.49,0.27,Anger
82,English,You are making good progress.,174.6,0.59,0.32,0.13,0.6,0.24,Sadness
83,English,Let me adjust your pillow for comfort.,239.71,0.63,0.38,0.14,0.51,0.18,Fear
84,Spanish,Parece más relajado hoy.,160.09,0.53,0.28,0.12,0.56,0.17,Surprise
85,French,Vous progressez bien.,190.34,0.73,0.26,0.12,0.46,0.23,Fear
86,Mandarin,请深呼吸。,156.68,0.51,0.33,0.15,0.6,0.22,Anger
87,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,184.84,0.71,0.3,0.09,0.49,0.22,Anger
88,Spanish,Parece más relajado hoy.,218.06,0.45,0.21,0.12,0.57,0.28,Neutral
89,Mandarin,我们来做一些伸展运动。,225.03,0.58,0.27,0.1,0.48,0.18,Anger
90,French,Comment vous sentez-vous aujourd'hui?,245.12,0.57,0.34,0.15,0.43,0.25,Neutral
91,English,Let's try a few stretching exercises.,245.08,0.49,0.26,0.13,0.49,0.18,Anger
92,English,We will start your therapy now.,241.77,0.76,0.21,0.09,0.42,0.2,Fear
93,English,Let's try a few stretching exercises.,198.35,0.44,0.38,0.15,0.5,0.26,Sadness
94,French,Laissez-moi ajuster votre oreiller pour plus de confort.,231.01,0.7,0.33,0.09,0.4,0.25,Neutral
95,Hindi,आप अच्छी प्रगति कर रहे हैं।,193.72,0.76,0.24,0.08,0.43,0.27,Neutral
96,English,Let's try a few stretching exercises.,228.45,0.73,0.22,0.12,0.34,0.22,Fear
97,Spanish,Voy a registrar su presión arterial.,195.32,0.41,0.32,0.08,0.35,0.24,Neutral
98,English,I will record your blood pressure now.,185.9,0.59,0.26,0.12,0.54,0.18,Anger
99,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,222.24,0.48,0.38,0.11,0.3,0.29,Neutral
100,French,Essayons quelques exercices d'étirement.,164.55,0.61,0.2,0.13,0.41,0.26,Surprise
101,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,244.8,0.7,0.21,0.13,0.31,0.15,Joy
102,Mandarin,你今天看起来更放松。,205.8,0.46,0.24,0.12,0.47,0.24,Neutral
103,Mandarin,我们来做一些伸展运动。,218.33,0.61,0.21,0.11,0.39,0.29,Sadness
104,Hindi,कृपया गहरी साँस लें।,241.64,0.74,0.35,0.15,0.56,0.23,Joy
105,Mandarin,你的康复进展很好。,170.1,0.5,0.33,0.09,0.31,0.21,Fear
106,English,Do you feel any pain?,185.8,0.74,0.31,0.12,0.58,0.2,Surprise
107,English,How are you feeling today?,159.77,0.48,0.26,0.14,0.59,0.3,Sadness
108,French,Comment vous sentez-vous aujourd'hui?,179.9,0.55,0.29,0.1,0.41,0.23,Neutral
109,English,Please take a deep breath.,187.38,0.57,0.26,0.13,0.58,0.19,Surprise
110,Spanish,Parece más relajado hoy.,211.04,0.74,0.35,0.13,0.49,0.3,Surprise
111,Spanish,Parece más relajado hoy.,208.38,0.41,0.27,0.11,0.39,0.25,Joy
112,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,221.68,0.4,0.39,0.13,0.54,0.29,Joy
113,Mandarin,我们现在开始治疗。,222.79,0.48,0.35,0.14,0.41,0.25,Anger
114,Spanish,¿Tiene algún dolor?,183.89,0.7,0.35,0.09,0.31,0.18,Sadness
115,English,Let's try a few stretching exercises.,220.76,0.79,0.27,0.14,0.38,0.17,Joy
116,Mandarin,你有疼痛吗？,161.97,0.74,0.27,0.13,0.34,0.25,Sadness
117,English,Let me adjust your pillow for comfort.,228.76,0.75,0.29,0.11,0.42,0.24,Anger
118,Mandarin,请深呼吸。,243.63,0.77,0.29,0.14,0.47,0.29,Anger
119,English,Can you move your arm slowly?,214.4,0.62,0.33,0.1,0.59,0.22,Anger
120,Mandarin,请深呼吸。,203.87,0.76,0.28,0.08,0.39,0.19,Fear
121,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,163.62,0.69,0.35,0.12,0.42,0.18,Anger
122,Hindi,आप अच्छी प्रगति कर रहे हैं।,223.4,0.42,0.34,0.09,0.34,0.21,Fear
123,French,Pouvez-vous bouger le bras lentement?,237.25,0.43,0.24,0.15,0.58,0.2,Joy
124,Spanish,Está progresando bien.,230.09,0.75,0.39,0.1,0.34,0.3,Fear
125,French,Nous allons commencer la séance.,206.44,0.48,0.32,0.14,0.44,0.21,Sadness
126,Mandarin,请深呼吸。,225.78,0.44,0.28,0.09,0.52,0.19,Neutral
127,Spanish,¿Tiene algún dolor?,163.83,0.74,0.4,0.09,0.33,0.16,Anger
128,English,Let me adjust your pillow for comfort.,242.92,0.45,0.23,0.1,0.31,0.18,Anger
129,English,How are you feeling today?,191.36,0.5,0.28,0.1,0.36,0.24,Fear
130,Hindi,कृपया गहरी साँस लें।,175.8,0.74,0.34,0.11,0.53,0.26,Anger
131,Spanish,Voy a registrar su presión arterial.,213.94,0.56,0.3,0.1,0.53,0.26,Sadness
